Protein	Gene	ProteinName	EntrezID	ProteinRef	Cal33.HSC6_log2FC	Cal33.HSC6_adj.pvalue	NumBR_Cal33	NumBR_HSC6
P37802	TAGLN2	transgelin 2	8407	P37802	0.0109402272303479	0.989618977361116	4	1
P37837	TALDO1	transaldolase 1	6888	P37837	0.47087174746865	0.626029507958995	3	4
P38159	RBMX	RNA binding motif protein X-linked	27316	P38159	-0.667317039403493	0.000916831507614563	4	4
P38398	BRCA1	BRCA1 DNA repair associated	672	P38398	0.342934461853142	0.169910732258896	4	4
P38432	COIL	coilin	8161	P38432	-0.655435341832595	0.00703605846726864	4	4
P38435	GGCX	gamma-glutamyl carboxylase	2677	P38435	-1.57989748245565	0.0286686162499056	3	4
P38646	HSPA9	heat shock protein family A (Hsp70) member 9	3313	P38646	0.892683350797558	0.220644181641946	1	4
P38919	EIF4A3	eukaryotic translation initiation factor 4A3	9775	P38919	-0.871336638075238	0.0222754111942606	4	4
P38935	IGHMBP2	immunoglobulin mu DNA binding protein 2	3508	P38935	-0.91038938992285	0.00149741627039401	3	4
P38936	CDKN1A	cyclin dependent kinase inhibitor 1A	1026	P38936	-Inf	0	0	4
P39023	RPL3	ribosomal protein L3	6122	P39023	0.819234291105612	0.0613598210619801	3	3
P39687	ANP32A	acidic nuclear phosphoprotein 32 family member A	8125	P39687	0.568971172947891	0.303804501489818	4	4
P39880	CUX1	cut like homeobox 1	1523	P39880	1.78762872609346	0.0119961027233411	4	4
P40123	CAP2	cyclase associated actin cytoskeleton regulatory protein 2	10486	P40123	-1.20328846561382	0.027485849639671	4	4
P40189	IL6ST	interleukin 6 signal transducer	3572	P40189	-0.691494139929398	0.133412354751495	1	4
P40222	TXLNA	taxilin alpha	200081	P40222	0.844572958585667	0.0621995387768325	4	4
P40306	PSMB10	proteasome 20S subunit beta 10	5699	P40306	1.54849786282428	0.042824557251043	2	4
P40425	PBX2	PBX homeobox 2	5089	P40425	-0.0716565058987987	0.84761514673427	4	3
P40692	MLH1	mutL homolog 1	4292	P40692	-Inf	0	0	2
P40763	STAT3	signal transducer and activator of transcription 3	6774	P40763	0.76362971950097	0.0635805782389095	4	4
P40818	USP8	ubiquitin specific peptidase 8	9101	P40818	-0.291755477204029	0.550043585743649	4	4
P40855	PEX19	peroxisomal biogenesis factor 19	5824	P40855	0.238912284726199	0.460120803792689	4	4
P40925	MDH1	malate dehydrogenase 1	4190	P40925	-0.190994144806703	0.720033207968417	4	4
P40939	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	3030	P40939	0.213722613381887	0.421759119360692	4	4
P41162	ETV3	ETS variant transcription factor 3	2117	P41162	0.0340044172670379	0.969318953785092	4	2
P41182	BCL6	BCL6 transcription repressor	604	P41182	0.180769602766171	0.183439054517423	4	4
P41208	CETN2	centrin 2	1069	P41208	-0.133014813351017	0.833290812070868	3	4
P41212	ETV6	ETS variant transcription factor 6	2120	P41212	0.222673625911042	0.57140030783327	4	4
P41227	NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit	8260	P41227	-0.0538362032507964	0.93792674966603	4	4
P41229	KDM5C	lysine demethylase 5C	8242	P41229	1.03182008862314	0.0110114752744524	4	4
P41252	IARS1	isoleucyl-tRNA synthetase 1	3376	P41252	-0.449547192684518	0.401165860101193	4	4
P41440	SLC19A1	solute carrier family 19 member 1	6573	P41440	0.756753759601015	0.0317043799600766	4	4
P41743	PRKCI	protein kinase C iota	5584	P41743	1.39449697827025	0.147969592246601	4	3
P41970	ELK3	ETS transcription factor ELK3	2004	P41970	0.080121194931641	0.787203391026729	1	4
P42166	TMPO	thymopoietin	7112	P42166	-1.27479795797425	0.00234878455622403	4	4
P42167	TMPO	thymopoietin	7112	P42167	-1.20563310405213	0.00629648757521361	4	4
P42224	STAT1	signal transducer and activator of transcription 1	6772	P42224	-0.304086561647484	0.464411388382136	4	4
P42285	MTREX	Mtr4 exosome RNA helicase	23517	P42285	-0.156970147548271	0.664032171608896	4	4
P42345	MTOR	mechanistic target of rapamycin kinase	2475	P42345	0.389283849974236	0.692775991808981	4	4
P42356	PI4KA	phosphatidylinositol 4-kinase alpha	5297	P42356	-0.0387034253044536	0.925391557052825	4	4
P42566	EPS15	epidermal growth factor receptor pathway substrate 15	2060	P42566	2.74467748117891	0.0143918872861196	4	4
P42568	MLLT3	MLLT3 super elongation complex subunit	4300	P42568	0.0160920336789312	0.974115351162422	4	4
P42677	RPS27	ribosomal protein S27	6232	P42677	1.90390996248426	0.00260583138102452	4	4
P42684	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	P42684	0.640273185700659	0.151295152726189	4	4
P42694	HELZ	helicase with zinc finger	9931	P42694	1.29095664256998	0.0153679205163352	4	4
P42695	NCAPD3	non-SMC condensin II complex subunit D3	23310	P42695	-0.800584671546572	0.00345959980802498	4	4
P42696	RBM34	RNA binding motif protein 34	23029	P42696	-1.31188588199476	0.00510567363360687	4	4
P42858	HTT	huntingtin	3064	P42858	0.489006025734033	0.304464544930963	4	4
P42892	ECE1	endothelin converting enzyme 1	1889	P42892	-1.17849008559411	0.170234353771645	1	3
P43146	DCC	DCC netrin 1 receptor	1630	P43146	-0.233226515303697	0.498332133176156	4	4
P43243	MATR3	matrin 3	9782	P43243	-0.862501345959618	0.00677539551315289	4	4
P43307	SSR1	signal sequence receptor subunit 1	6745	P43307	-0.310411394616595	0.628823131969547	4	4
P43351	RAD52	RAD52 homolog, DNA repair protein	5893	P43351	-Inf	0	0	4
P43378	PTPN9	protein tyrosine phosphatase non-receptor type 9	5780	P43378	-Inf	0	0	3
P43487	RANBP1	RAN binding protein 1	5902	P43487	-0.327644139832582	0.445565777686683	4	4
P43686	PSMC4	proteasome 26S subunit, ATPase 4	5704	P43686	-0.225020338038157	0.640746020468801	2	4
P45880	VDAC2	voltage dependent anion channel 2	7417	P45880	0.767578583697986	0.00836340847367167	4	4
P45973	CBX5	chromobox 5	23468	P45973	-2.87014804258192	0.00166329052554572	4	4
P46013	MKI67	marker of proliferation Ki-67	4288	P46013	0.413256647324385	0.00677005951370512	4	4
P46019	PHKA2	phosphorylase kinase regulatory subunit alpha 2	5256	P46019	0.883898539162704	0.00816126332685846	4	4
P46060	RANGAP1	Ran GTPase activating protein 1	5905	P46060	-0.394091257525146	0.439112209567483	4	4
P46063	RECQL	RecQ like helicase	5965	P46063	-1.47908604112309	0.355972619476729	2	2
P46087	NOP2	NOP2 nucleolar protein	4839	P46087	-0.733059687752869	0.0702240495424074	4	4
P46100	ATRX	ATRX chromatin remodeler	546	P46100	-0.48826625382943	0.00983438902524673	4	4
P46108	CRK	CRK proto-oncogene, adaptor protein	1398	P46108	0.333725023924373	0.215553423071881	3	4
P46109	CRKL	CRK like proto-oncogene, adaptor protein	1399	P46109	-1.25692196847352	0.0726665450265725	1	3
P46379	BAG6	BAG cochaperone 6	7917	P46379	-0.323594105960058	0.271978190013263	4	4
P46695	IER3	immediate early response 3	8870	P46695	0.292165046724754	0.735903627802005	4	4
P46779	RPL28	ribosomal protein L28	6158	P46779	-0.666153825029941	0.161148604509939	4	4
P46781	RPS9	ribosomal protein S9	6203	P46781	0.447394701254111	0.338922508517793	4	4
P46782	RPS5	ribosomal protein S5	6193	P46782	0.693746155085083	0.0796939779896363	3	4
P46783	RPS10	ribosomal protein S10	6204	P46783	0.4067918901242	0.485042283274112	3	4
P46821	MAP1B	microtubule associated protein 1B	4131	P46821	-0.968998181518995	0.00119747088026393	4	4
P46934	NEDD4	NEDD4 E3 ubiquitin protein ligase	4734	P46934	0.492218800280115	0.398274171577715	2	4
P46937	YAP1	Yes1 associated transcriptional regulator	10413	P46937	-0.291701863620982	0.111557765394603	4	4
P46939	UTRN	utrophin	7402	P46939	0.146082327018308	0.766748905499773	4	4
P46940	IQGAP1	IQ motif containing GTPase activating protein 1	8826	P46940	-0.463916678246331	0.261026901483849	3	4
P47712	PLA2G4A	phospholipase A2 group IVA	5321	P47712	Inf	0	4	0
P47736	RAP1GAP	RAP1 GTPase activating protein	5909	P47736	0.923583903217483	0.128300143729064	3	4
P47755	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2	830	P47755	-0.82029081176765	0.308267120522928	3	3
P47756	CAPZB	capping actin protein of muscle Z-line subunit beta	832	P47756	-Inf	0	0	2
P47897	QARS1	glutaminyl-tRNA synthetase 1	5859	P47897	-Inf	0	0	2
P47914	RPL29	ribosomal protein L29	6159	P47914	0.108378273013352	0.919411365754523	1	4
P47974	ZFP36L2	ZFP36 ring finger protein like 2	678	P47974	1.10603429669691	0.00613066673021593	4	4
P48029	SLC6A8	solute carrier family 6 member 8	6535	P48029	Inf	0	3	0
P48431	SOX2	SRY-box transcription factor 2	6657	P48431	-0.182207860453639	0.480461298696514	4	4
P48552	NRIP1	nuclear receptor interacting protein 1	8204	P48552	0.160206286129339	0.758555971235891	3	1
P48553	TRAPPC10	trafficking protein particle complex 10	7109	P48553	1.2714771934231	0.243007975912136	2	2
P48634	PRRC2A	proline rich coiled-coil 2A	7916	P48634	-1.65437232626253	9.33253130186123e-05	4	4
P48637	GSS	glutathione synthetase	2937	P48637	0.45827522225858	0.349495471361624	4	4
P48651	PTDSS1	phosphatidylserine synthase 1	9791	P48651	0.0369450914999083	0.922581231449638	4	4
P48729	CSNK1A1	casein kinase 1 alpha 1	1452	P48729	-3.36517781836866	0.00028359537854137	4	4
P48730	CSNK1D	casein kinase 1 delta	1453	P48730	-1.06156662465032	0.00123937554169	4	4
P48739	PITPNB	phosphatidylinositol transfer protein beta	23760	P48739	-1.48759608438937	0.0483974937245169	3	2
P48960	ADGRE5	adhesion G protein-coupled receptor E5	976	P48960	-0.28412387697984	0.673432833931036	4	1
P49006	MARCKSL1	MARCKS like 1	65108	P49006	1.02717968971285	0.00789482777740138	4	4
P49023	PXN	paxillin	5829	P49023	-0.385279987963853	0.244509009609705	4	4
P49116	NR2C2	nuclear receptor subfamily 2 group C member 2	7182	P49116	-0.237814585268101	0.291459504908498	4	4
P49207	RPL34	ribosomal protein L34	6164	P49207	0.0833568103038368	0.811030111983324	4	4
P49321	NASP	nuclear autoantigenic sperm protein	4678	P49321	0.235045175738443	0.690585632523431	3	4
P49327	FASN	fatty acid synthase	2194	P49327	1.59334267677673	0.00817980905410724	4	4
P49354	FNTA	farnesyltransferase, CAAX box, alpha	2339	P49354	-1.35578102268218	0.0227335979513042	3	3
P49356	FNTB	farnesyltransferase, CAAX box, beta	2342	P49356	0.731977998659739	0.085472550253343	4	4
P49450	CENPA	centromere protein A	1058	P49450	-1.65307739180767	0.00166329052554572	4	4
P49454	CENPF	centromere protein F	1063	P49454	0.669972351950947	0.0270171234028913	4	4
P49585	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha	5130	P49585	1.15146347306953	0.000724810895593464	4	4
P49589	CARS1	cysteinyl-tRNA synthetase 1	833	P49589	0.51833973923499	0.813042942028837	2	1
P49590	HARS2	histidyl-tRNA synthetase 2, mitochondrial	23438	P49590	-0.68012873095258	0.00184065259376348	4	4
P49674	CSNK1E	casein kinase 1 epsilon	1454	P49674	-0.409368743988918	0.247880741000002	4	4
P49711	CTCF	CCCTC-binding factor	10664	P49711	-0.345840979467597	0.456292295121577	4	4
P49715	CEBPA	CCAAT enhancer binding protein alpha	1050	P49715	-Inf	0	0	2
P49716	CEBPD	CCAAT enhancer binding protein delta	1052	P49716	0.253475614369167	0.721925653163731	4	4
P49736	MCM2	minichromosome maintenance complex component 2	4171	P49736	-0.719626992520934	0.00137497688071282	4	4
P49750	YLPM1	YLP motif containing 1	56252	P49750	-1.00519084473344	0.111828933610184	4	4
P49756	RBM25	RNA binding motif protein 25	58517	P49756	-1.42607004162534	0.0024975382833478	4	4
P49757	NUMB	NUMB endocytic adaptor protein	8650	P49757	0.104281420443209	0.62205265523833	4	4
P49759	CLK1	CDC like kinase 1	1195	P49759	0.855749751200549	0.052702227335176	4	4
P49760	CLK2	CDC like kinase 2	1196	P49760	-2.3310194601586	0.00345959980802498	4	4
P49761	CLK3	CDC like kinase 3	1198	P49761	0.00243678325420906	0.992137731185598	4	4
P49768	PSEN1	presenilin 1	5663	P49768	0.178648024695239	0.510616461199427	4	4
P49790	NUP153	nucleoporin 153	9972	P49790	-0.420382030846146	0.0760114700856372	4	4
P49792	RANBP2	RAN binding protein 2	5903	P49792	0.25436289449063	0.111434544490015	4	4
P49796	RGS3	regulator of G protein signaling 3	5998	P49796	Inf	0	2	0
P49810	PSEN2	presenilin 2	5664	P49810	Inf	0	2	0
P49815	TSC2	TSC complex subunit 2	7249	P49815	0.390963763941366	0.358571630286647	4	4
P49841	GSK3B	glycogen synthase kinase 3 beta	2932	P49841	0.282708962504964	0.209134641515545	4	4
P49848	TAF6	TATA-box binding protein associated factor 6	6878	P49848	0.0230831149995917	0.960904067456105	4	4
P49902	NT5C2	5'-nucleotidase, cytosolic II	22978	P49902	Inf	0	4	0
P49915	GMPS	guanine monophosphate synthase	8833	P49915	1.25622113255215	0.0172327933794159	4	4
P49916	LIG3	DNA ligase 3	3980	P49916	0.165073193228424	0.249505633925242	4	4
P49959	MRE11	MRE11 homolog, double strand break repair nuclease	4361	P49959	-0.335471541736639	0.755131914195967	4	1
P50151	GNG10	G protein subunit gamma 10	2790	P50151	-Inf	0	0	2
P50395	GDI2	GDP dissociation inhibitor 2	2665	P50395	Inf	0	4	0
P50402	EMD	emerin	2010	P50402	-2.52282814708905	0.00110068062425064	4	4
P50443	SLC26A2	solute carrier family 26 member 2	1836	P50443	-1.10573998604098	0.194496784227108	1	3
P50479	PDLIM4	PDZ and LIM domain 4	8572	P50479	-1.43384725585701	0.01429025205466	4	4
P50548	ERF	ETS2 repressor factor	2077	P50548	2.30943450929165	0.0024975382833478	4	4
P50552	VASP	vasodilator stimulated phosphoprotein	7408	P50552	-1.99449565783081	0.00475880340611584	4	4
P50570	DNM2	dynamin 2	1785	P50570	1.05696447199815	0.374831009376646	1	3
P50579	METAP2	methionyl aminopeptidase 2	10988	P50579	0.169210426468511	0.606156949498481	4	4
P50613	CDK7	cyclin dependent kinase 7	1022	P50613	0.164322675327272	0.498332133176156	4	4
P50748	KNTC1	kinetochore associated 1	9735	P50748	-Inf	0	0	2
P50750	CDK9	cyclin dependent kinase 9	1025	P50750	-1.07729901565272	0.0280732243949671	4	4
P50851	LRBA	LPS responsive beige-like anchor protein	987	P50851	0.50148918717466	0.264244161783685	4	4
P50914	RPL14	ribosomal protein L14	9045	P50914	-0.312898202207978	0.280063645278115	4	4
P50990	CCT8	chaperonin containing TCP1 subunit 8	10694	P50990	1.65370414566559	0.0114921245068843	3	2
P50991	CCT4	chaperonin containing TCP1 subunit 4	10575	P50991	0.499855446004968	0.537462284780665	3	3
P51003	PAPOLA	poly(A) polymerase alpha	10914	P51003	0.342683268090047	0.249630321111888	3	4
P51114	FXR1	FMR1 autosomal homolog 1	8087	P51114	1.24203894054431	0.00864047086520446	4	4
P51116	FXR2	FMR1 autosomal homolog 2	9513	P51116	-0.232256216728231	0.195245152778179	4	4
P51149	RAB7A	RAB7A, member RAS oncogene family	7879	P51149	1.96509763380831	0.00746307270777983	4	4
P51397	DAP	death associated protein	1611	P51397	-1.36453122449311	0.0151160805039426	3	4
P51531	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	6595	P51531	0.890299227974272	0.12635225281302	4	4
P51532	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	6597	P51532	-0.776390716284698	0.0517811931850595	4	4
P51587	BRCA2	BRCA2 DNA repair associated	675	P51587	1.08371789304557	0.019556947102333	4	4
P51608	MECP2	methyl-CpG binding protein 2	4204	P51608	-0.695988450954693	0.0287342385370067	4	4
P51610	HCFC1	host cell factor C1	3054	P51610	-0.00520190747635027	0.983742275642961	4	4
P51659	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	3295	P51659	0.77778388441731	0.123471750163778	4	2
P51784	USP11	ubiquitin specific peptidase 11	8237	P51784	-0.4960745354272	0.221681202457163	4	2
P51788	CLCN2	chloride voltage-gated channel 2	1181	P51788	Inf	0	3	0
P51798	CLCN7	chloride voltage-gated channel 7	1186	P51798	-0.688762620330999	0.151642234509937	4	4
P51805	PLXNA3	plexin A3	55558	P51805	1.56329264544091	0.00204079560423068	4	4
P51812	RPS6KA3	ribosomal protein S6 kinase A3	6197	P51812	1.38642560650571	0.116527073236019	4	4
P51825	AFF1	AF4/FMR2 family member 1	4299	P51825	-0.799990223293811	0.005222979672045	4	4
P51858	HDGF	heparin binding growth factor	3068	P51858	-0.396673983449523	0.177417821967495	4	4
P51946	CCNH	cyclin H	902	P51946	-Inf	0	0	4
P51948	MNAT1	MNAT1 component of CDK activating kinase	4331	P51948	-0.219899527249674	0.65804730526795	4	4
P51957	NEK4	NIMA related kinase 4	6787	P51957	0.190944498682212	0.230692743757943	3	4
P51965	UBE2E1	ubiquitin conjugating enzyme E2 E1	7324	P51965	-1.66945655711604	0.0137158965957613	4	4
P51991	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	220988	P51991	0.0689857784694252	0.804323009526787	4	4
P52272	HNRNPM	heterogeneous nuclear ribonucleoprotein M	4670	P52272	0.335959728737183	0.221848286985589	4	4
P52292	KPNA2	karyopherin subunit alpha 2	3838	P52292	-0.441710102758393	0.402410466693426	4	4
P52565	ARHGDIA	Rho GDP dissociation inhibitor alpha	396	P52565	2.45587083962777	0.00188422135946209	4	4
P52594	AGFG1	ArfGAP with FG repeats 1	3267	P52594	-2.3320549513223	0.00483349424889024	4	4
P52597	HNRNPF	heterogeneous nuclear ribonucleoprotein F	3185	P52597	-0.941693812487869	0.0678012121366443	3	4
P52701	MSH6	mutS homolog 6	2956	P52701	0.157153520200352	0.312374024420831	4	4
P52732	KIF11	kinesin family member 11	3832	P52732	-0.200810616018661	0.761853641168618	4	4
P52737	ZNF136	zinc finger protein 136	7695	P52737	0.917851113652537	0.0187184337473435	4	4
P52746	ZNF142	zinc finger protein 142	7701	P52746	1.18671011247202	0.0178111320837746	4	4
P52756	RBM5	RNA binding motif protein 5	10181	P52756	-1.74099590889359	0.00612293435966959	4	4
P52799	EFNB2	ephrin B2	1948	P52799	-Inf	0	0	4
P52888	THOP1	thimet oligopeptidase 1	7064	P52888	2.00531213943887	0.00576849116201911	2	2
P52907	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	829	P52907	-2.78640854297393	0.000153739791840006	4	4
P52926	HMGA2	high mobility group AT-hook 2	8091	P52926	-4.43488217449852	9.33253130186123e-05	4	4
P52943	CRIP2	cysteine rich protein 2	1397	P52943	Inf	0	4	0
P52948	NUP98	nucleoporin 98 and 96 precursor	4928	P52948	0.277404582548354	0.0175210808088569	4	4
P53007	SLC25A1	solute carrier family 25 member 1	6576	P53007	-0.0695652776892837	0.90552259908111	2	4
P53350	PLK1	polo like kinase 1	5347	P53350	0.0320602648068636	0.964367035302349	4	4
P53355	DAPK1	death associated protein kinase 1	1612	P53355	-1.42452082959635	0.0102020816017526	1	4
P53367	ARFIP1	ADP ribosylation factor interacting protein 1	27236	P53367	0.099960235860302	0.808554376481077	4	4
P53396	ACLY	ATP citrate lyase	47	P53396	0.503856016812868	0.224462552394442	4	4
P53602	MVD	mevalonate diphosphate decarboxylase	4597	P53602	2.83763856475052	0.00196833358848505	4	3
P53611	RABGGTB	Rab geranylgeranyltransferase subunit beta	5876	P53611	0.262512929313262	0.280063645278115	4	4
P53621	COPA	COPI coat complex subunit alpha	1314	P53621	-0.211199660440995	0.747251682723542	4	4
P53667	LIMK1	LIM domain kinase 1	3984	P53667	Inf	0	4	0
P53671	LIMK2	LIM domain kinase 2	3985	P53671	1.05043477608509	0.00211847335044732	4	4
P53814	SMTN	smoothelin	6525	P53814	-Inf	0	0	3
P53985	SLC16A1	solute carrier family 16 member 1	6566	P53985	-0.759292677093241	0.0122212028432594	4	4
P53999	SUB1	SUB1 regulator of transcription	10923	P53999	-2.43095714856516	0.000747100247080531	4	4
P54105	CLNS1A	chloride nucleotide-sensitive channel 1A	1207	P54105	-0.754617008446226	0.553249576666647	4	4
P54132	BLM	BLM RecQ like helicase	641	P54132	-1.57079762979608	0.00385993250463127	2	4
P54198	HIRA	histone cell cycle regulator	7290	P54198	-1.35495442475114	0.0100493287060648	2	4
P54253	ATXN1	ataxin 1	6310	P54253	-2.05954887969398	0.000153739791840006	4	4
P54259	ATN1	atrophin 1	1822	P54259	-1.97346732108131	0.00179822899503729	4	4
P54274	TERF1	telomeric repeat binding factor 1	7013	P54274	-2.01342094793762	0.000326374474703182	4	4
P54578	USP14	ubiquitin specific peptidase 14	9097	P54578	Inf	0	2	0
P54727	RAD23B	RAD23 homolog B, nucleotide excision repair protein	5887	P54727	0.867226014926931	0.59073728429867	4	4
P54760	EPHB4	EPH receptor B4	2050	P54760	0.632243395016619	0.0670888332089405	4	4
P54792	P54792	NA	NA	P54792	-0.864524465846318	0.102321116015307	1	3
P55010	EIF5	eukaryotic translation initiation factor 5	1983	P55010	-0.28197115113332	0.537411997878303	3	4
P55011	SLC12A2	solute carrier family 12 member 2	6558	P55011	Inf	0	3	0
P55072	VCP	valosin containing protein	7415	P55072	-0.305230556384915	0.416505303162488	4	4
P55081	MFAP1	microfibril associated protein 1	4236	P55081	-1.57636011917514	0.00126127120854915	4	4
P55085	F2RL1	F2R like trypsin receptor 1	2150	P55085	1.15017374330545	0.0691561422868088	4	4
P55196	AFDN	afadin, adherens junction formation factor	4301	P55196	-1.71149623952621	0.00051286693398665	4	4
P55198	MLLT6	MLLT6, PHD finger containing	4302	P55198	0.729971807880594	0.419807946113662	4	3
P55199	ELL	elongation factor for RNA polymerase II	8178	P55199	-0.387581311799407	0.105568621647011	4	4
P55201	BRPF1	bromodomain and PHD finger containing 1	7862	P55201	-0.848513851368261	0.00211186379242936	4	4
P55209	NAP1L1	nucleosome assembly protein 1 like 1	4673	P55209	-1.10612778095597	0.0441030697152848	4	4
P55210	CASP7	caspase 7	840	P55210	-Inf	0	0	4
P55265	ADAR	adenosine deaminase RNA specific	103	P55265	-0.312648309343615	0.231701366502465	4	4
P55317	FOXA1	forkhead box A1	3169	P55317	3.23654807495581	0.000771161683547077	4	4
P55327	TPD52	tumor protein D52	7163	P55327	0.597631110268696	0.257762202104431	4	4
P55795	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2	3188	P55795	-Inf	0	0	3
P55884	EIF3B	eukaryotic translation initiation factor 3 subunit B	8662	P55884	-0.453976655071034	0.20748734208755	4	4
P56181	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	4731	P56181	-1.33539206148162	0.0110232415045834	4	4
P56182	RRP1	ribosomal RNA processing 1	8568	P56182	-1.71155556375611	0.0438246517790342	1	4
P56192	MARS1	methionyl-tRNA synthetase 1	4141	P56192	-1.30634901326323	0.0058319557051344	4	4
P56211	ARPP19	cAMP regulated phosphoprotein 19	10776	P56211	-0.93345349924091	0.0214109934902361	4	4
P56270	MAZ	MYC associated zinc finger protein	4150	P56270	1.91556553858266	0.0016216058255581	4	4
P56524	HDAC4	histone deacetylase 4	9759	P56524	2.0850827580032	0.00798211566972603	4	4
P56537	EIF6	eukaryotic translation initiation factor 6	3692	P56537	-0.921774350937651	0.494475788399646	2	4
P56749	CLDN12	claudin 12	9069	P56749	1.9507850705642	0.184359374986348	4	4
P56945	BCAR1	BCAR1 scaffold protein, Cas family member	9564	P56945	0.309541570963304	0.57140030783327	3	3
P56962	STX17	syntaxin 17	55014	P56962	-0.602900155007334	0.236797647279465	3	4
P57081	WDR4	WD repeat domain 4	10785	P57081	-4.50196763520144	NA	1	1
P57682	KLF3	Kruppel like factor 3	51274	P57682	-0.386392602479605	0.0416177220892908	4	4
P57740	NUP107	nucleoporin 107	57122	P57740	-0.21621199448388	0.606153543074668	4	4
P57764	GSDMD	gasdermin D	79792	P57764	-1.22909205506305	0.0197282736762322	4	4
P57768	SNX16	sorting nexin 16	64089	P57768	1.00876440218257	0.0129213302746576	4	4
P58107	EPPK1	epiplakin 1	83481	P58107	2.74472122049838	0.000561665596890177	4	4
P58876	H2BC5	H2B clustered histone 5	3017	P58876	-0.592418417882795	0.371461697262038	2	3
P59894	DCDC1	doublecortin domain containing 1	341019	P59894	-Inf	0	0	2
P59923	ZNF445	zinc finger protein 445	353274	P59923	0.382266716552625	0.82573822426624	3	3
P60174	TPI1	triosephosphate isomerase 1	7167	P60174	-1.08504077016594	0.158395058395512	4	4
P60228	EIF3E	eukaryotic translation initiation factor 3 subunit E	3646	P60228	1.2428968797782	0.0178635093031312	4	4
P60468	SEC61B	SEC61 translocon subunit beta	10952	P60468	0.0570741320440169	0.814493538445099	4	4
P60520	GABARAPL2	GABA type A receptor associated protein like 2	11345	P60520	-0.216896628226612	NA	1	1
P60709	ACTB	actin beta	60	P60709	-0.341871737569967	0.4062420312521	4	3
P60866	RPS20	ribosomal protein S20	6224	P60866	0.109757714689005	0.701544403176274	2	3
P60981	DSTN	destrin, actin depolymerizing factor	11034	P60981	-1.99619623607276	0.00604985625645429	4	4
P61006	RAB8A	RAB8A, member RAS oncogene family	4218	P61006	-2.13178014288468	0.00164588009717375	4	4
P61106	RAB14	RAB14, member RAS oncogene family	51552	P61106	0.167968566819615	0.766004227436676	1	3
P61244	MAX	MYC associated factor X	4149	P61244	-3.4280261724982	0.000515580998065738	3	4
P61247	RPS3A	ribosomal protein S3A	6189	P61247	0.35771482619026	0.31564174061651	4	4
P61254	RPL26	ribosomal protein L26	6154	P61254	0.31489300894066	0.34376741381645	4	4
P61313	RPL15	ribosomal protein L15	6138	P61313	0.0480749541140068	0.882693440695861	4	4
P61619	SEC61A1	SEC61 translocon subunit alpha 1	29927	P61619	0.885381450291098	0.199290417784405	4	2
P61927	RPL37	ribosomal protein L37	6167	P61927	-0.568038207054079	0.452270634660476	4	4
P61964	WDR5	WD repeat domain 5	11091	P61964	0.238688398672987	0.481528112296532	4	3
P61978	HNRNPK	heterogeneous nuclear ribonucleoprotein K	3190	P61978	-1.15540541585697	0.00167741553721073	4	4
P62070	RRAS2	RAS related 2	22800	P62070	-4.1358675068987	0.000153739791840006	4	4
P62136	PPP1CA	protein phosphatase 1 catalytic subunit alpha	5499	P62136	0.0506910452847756	0.835980038071195	4	4
P62140	PPP1CB	protein phosphatase 1 catalytic subunit beta	5500	P62140	-0.561856791742811	0.164481037185999	4	4
P62241	RPS8	ribosomal protein S8	6202	P62241	Inf	0	3	0
P62306	SNRPF	small nuclear ribonucleoprotein polypeptide F	6636	P62306	1.67742630417295	0.0290956940823425	4	4
P62316	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide	6633	P62316	-0.200470438780663	0.583344706501579	3	4
P62328	TMSB4X	thymosin beta 4 X-linked	7114	P62328	-0.0284155763561931	0.908924474535353	3	4
P62699	YPEL5	yippee like 5	51646	P62699	-Inf	0	0	3
P62701	RPS4X	ribosomal protein S4 X-linked	6191	P62701	Inf	0	2	0
P62750	RPL23A	ribosomal protein L23a	6147	P62750	-0.129416250496698	0.434895776208472	4	4
P62753	RPS6	ribosomal protein S6	6194	P62753	-0.151473076517422	0.574801596582154	4	4
P62805	H4C9	H4 clustered histone 9	8294	P62805	-0.637715010041695	0.393808439025322	4	4
P62807	H2BC5	H2B clustered histone 5	3017	P62807	0.695469090464792	0.0311304912907726	4	4
P62826	RAN	RAN, member RAS oncogene family	5901	P62826	1.26936812532609	0.0299136335467422	4	4
P62888	RPL30	ribosomal protein L30	6156	P62888	-1.61787561910636	0.0156193798157206	4	4
P62942	FKBP1A	FKBP prolyl isomerase 1A	2280	P62942	0.184656067735862	0.626130115820849	2	2
P62995	TRA2B	transformer 2 beta homolog	6434	P62995	-1.13497847662573	0.0416177220892908	4	4
