Protein	Gene	ProteinName	EntrezID	ProteinRef	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	Cal33	HSC6	CMA	Species
P25490	YY1	YY1 transcription factor	7528	P25490	Cal33-HSC6	-0.0535540682222254	0.942429943286427	0.960904067456105	no	-0.0535540682222254	0.960904067456105	4	4	HSC6	human
P25786	PSMA1	proteasome 20S subunit alpha 1	5682	P25786	Cal33-HSC6	-Inf	NA	0	yes	-8.29100878797845	0.0381994	0	4	HSC6	human
P25787	PSMA2	proteasome 20S subunit alpha 2	5683	P25787	Cal33-HSC6	-0.403336144965591	0.885017424786966	0.921104216895894	no	-0.403336144965591	0.921104216895894	1	4	HSC6	human
P25788	PSMA3	proteasome 20S subunit alpha 3	5684	P25788	Cal33-HSC6	-2.85186585218489	3.40735703614481e-05	0.00075679136055657	no	-2.85186585218489	0.00075679136055657	4	4	HSC6	human
P25789	PSMA4	proteasome 20S subunit alpha 4	5685	P25789	Cal33-HSC6	-0.388424837314661	0.253036696489607	0.347870829716282	no	-0.388424837314661	0.347870829716282	4	4	HSC6	human
P26038	MSN	moesin	4478	P26038	Cal33-HSC6	-Inf	NA	0	yes	-4.7954807449702	0.0341671	0	4	HSC6	human
P26045	PTPN3	protein tyrosine phosphatase non-receptor type 3	5774	P26045	Cal33-HSC6	0.105898283608527	0.772055268741627	0.828242579404764	no	0.105898283608527	0.828242579404764	4	4	Cal33	human
P26358	DNMT1	DNA methyltransferase 1	1786	P26358	Cal33-HSC6	-0.825344782553488	0.0019391285862207	0.00936902187940318	no	-0.825344782553488	0.00936902187940318	4	4	HSC6	human
P26368	U2AF2	U2 small nuclear RNA auxiliary factor 2	11338	P26368	Cal33-HSC6	0.111044316106884	0.682922010705038	0.756843543515096	no	0.111044316106884	0.756843543515096	4	4	Cal33	human
P26373	RPL13	ribosomal protein L13	6137	P26373	Cal33-HSC6	-0.690227038942169	0.307695311529545	0.4062420312521	no	-0.690227038942169	0.4062420312521	3	4	HSC6	human
P26374	CHML	CHM like Rab escort protein	1122	P26374	Cal33-HSC6	-1.07791120647696	0.124272434975907	0.199638462645454	no	-1.07791120647696	0.199638462645454	3	2	HSC6	human
P26599	PTBP1	polypyrimidine tract binding protein 1	5725	P26599	Cal33-HSC6	-0.877363161201153	0.0353595336823247	0.0759168949727052	no	-0.877363161201153	0.0759168949727052	4	4	HSC6	human
P26639	TARS1	threonyl-tRNA synthetase 1	6897	P26639	Cal33-HSC6	-1.53932441776064	0.000174379847472927	0.00195360156778308	no	-1.53932441776064	0.00195360156778308	4	4	HSC6	human
P26641	EEF1G	eukaryotic translation elongation factor 1 gamma	1937	P26641	Cal33-HSC6	-1.51688489715743	0.0641122525392674	0.120924065379584	no	-1.51688489715743	0.120924065379584	4	4	HSC6	human
P27448	MARK3	microtubule affinity regulating kinase 3	4140	P27448	Cal33-HSC6	-0.0643682171540206	0.716408430979431	0.785213233817043	no	-0.0643682171540206	0.785213233817043	4	4	HSC6	human
P27540	ARNT	aryl hydrocarbon receptor nuclear translocator	405	P27540	Cal33-HSC6	-2.01564617108512	0.00084903605002018	0.00542837506679569	no	-2.01564617108512	0.00542837506679569	4	4	HSC6	human
P27694	RPA1	replication protein A1	6117	P27694	Cal33-HSC6	-1.58379823161854	0.00183178189694178	0.00904247063544591	no	-1.58379823161854	0.00904247063544591	4	4	HSC6	human
P27707	DCK	deoxycytidine kinase	1633	P27707	Cal33-HSC6	2.63072774134008	4.98694665220789e-05	0.000934025772978231	no	2.63072774134008	0.000934025772978231	3	3	Cal33	human
P27708	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	790	P27708	Cal33-HSC6	-0.400594893768129	0.0325219415200368	0.0711682898967679	no	-0.400594893768129	0.0711682898967679	4	4	HSC6	human
P27816	MAP4	microtubule associated protein 4	4134	P27816	Cal33-HSC6	0.357801313026958	0.0158385571527582	0.0411673191627608	no	0.357801313026958	0.0411673191627608	4	4	Cal33	human
P27824	CANX	calnexin	821	P27824	Cal33-HSC6	-1.53545944109946	0.000649128803887677	0.00446880806238806	no	-1.53545944109946	0.00446880806238806	4	4	HSC6	human
P28066	PSMA5	proteasome 20S subunit alpha 5	5686	P28066	Cal33-HSC6	-0.592830749173643	0.00486181906653549	0.0175311799635889	no	-0.592830749173643	0.0175311799635889	4	4	HSC6	human
P28074	PSMB5	proteasome 20S subunit beta 5	5693	P28074	Cal33-HSC6	0.161236981119328	0.373611608620804	0.475604009409132	no	0.161236981119328	0.475604009409132	4	4	Cal33	human
P28290	ITPRID2	ITPR interacting domain containing 2	6744	P28290	Cal33-HSC6	-1.53152767013105	1.00107363154578e-06	0.000153739791840006	no	-1.53152767013105	0.000153739791840006	4	4	HSC6	human
P28347	TEAD1	TEA domain transcription factor 1	7003	P28347	Cal33-HSC6	-1.8134815829723	0.0103532957784338	0.0298865763903293	no	-1.8134815829723	0.0298865763903293	1	4	HSC6	human
P28370	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	6594	P28370	Cal33-HSC6	0.227906081856974	0.284278641741383	0.381755881613059	no	0.227906081856974	0.381755881613059	4	4	Cal33	human
P28482	MAPK1	mitogen-activated protein kinase 1	5594	P28482	Cal33-HSC6	-2.56962364120131	2.33737642894027e-05	0.000621694630375469	no	-2.56962364120131	0.000621694630375469	4	4	HSC6	human
P28715	ERCC5	ERCC excision repair 5, endonuclease	2073	P28715	Cal33-HSC6	-1.20410030914349	1.67820617638093e-05	0.000518969631714818	no	-1.20410030914349	0.000518969631714818	4	4	HSC6	human
P28749	RBL1	RB transcriptional corepressor like 1	5933	P28749	Cal33-HSC6	1.09003757779577	0.000142954889259528	0.00173728384504709	no	1.09003757779577	0.00173728384504709	4	4	Cal33	human
P29317	EPHA2	EPH receptor A2	1969	P29317	Cal33-HSC6	-Inf	NA	0	yes	-5.43272672812795	0.0219044	0	4	HSC6	human
P29323	EPHB2	EPH receptor B2	2048	P29323	Cal33-HSC6	-1.16495200929795	0.0345666373418974	0.074566513073578	no	-1.16495200929795	0.074566513073578	4	4	HSC6	human
P29350	PTPN6	protein tyrosine phosphatase non-receptor type 6	5777	P29350	Cal33-HSC6	Inf	NA	0	yes	5.93919936262602	0.0257581	4	0	Cal33	human
P29353	SHC1	SHC adaptor protein 1	6464	P29353	Cal33-HSC6	1.85400221470932	0.00224736113121593	0.0102810313818844	no	1.85400221470932	0.0102810313818844	4	3	Cal33	human
P29372	MPG	N-methylpurine DNA glycosylase	4350	P29372	Cal33-HSC6	0.682498821576073	0.013578581323316	0.0365153740991877	no	0.682498821576073	0.0365153740991877	4	4	Cal33	human
P29374	ARID4A	AT-rich interaction domain 4A	5926	P29374	Cal33-HSC6	-1.0535703942652	0.00161626295581119	0.00831370153683816	no	-1.0535703942652	0.00831370153683816	4	4	HSC6	human
P29375	KDM5A	lysine demethylase 5A	5927	P29375	Cal33-HSC6	-0.170426720825645	0.816834902592575	0.865203702546493	no	-0.170426720825645	0.865203702546493	4	3	HSC6	human
P29558	RBMS1	RNA binding motif single stranded interacting protein 1	5937	P29558	Cal33-HSC6	0.502651922017146	0.0213321941066318	0.0516514874794795	no	0.502651922017146	0.0516514874794795	4	4	Cal33	human
P29590	PML	PML nuclear body scaffold	5371	P29590	Cal33-HSC6	-0.516314848855983	0.00843102934099971	0.026012013005565	no	-0.516314848855983	0.026012013005565	4	4	HSC6	human
P29692	EEF1D	eukaryotic translation elongation factor 1 delta	1936	P29692	Cal33-HSC6	-0.443085321030655	0.0665392313131361	0.123678291010523	no	-0.443085321030655	0.123678291010523	4	4	HSC6	human
P29966	MARCKS	myristoylated alanine rich protein kinase C substrate	4082	P29966	Cal33-HSC6	0.0496163395514493	0.7856202693611	0.838069663216093	no	0.0496163395514493	0.838069663216093	4	4	Cal33	human
P30050	RPL12	ribosomal protein L12	6136	P30050	Cal33-HSC6	-0.252675098289804	0.434294808359385	0.534930239774191	no	-0.252675098289804	0.534930239774191	4	4	HSC6	human
P30086	PEBP1	phosphatidylethanolamine binding protein 1	5037	P30086	Cal33-HSC6	Inf	NA	0	yes	3.8231201434213	0.0175175	2	0	Cal33	human
P30260	CDC27	cell division cycle 27	996	P30260	Cal33-HSC6	-Inf	NA	0	yes	-6.75250324952207	0.0410577	0	4	HSC6	human
P30305	CDC25B	cell division cycle 25B	994	P30305	Cal33-HSC6	1.15095057723923	0.140120184152077	0.219234725474307	no	1.15095057723923	0.219234725474307	4	4	Cal33	human
P30307	CDC25C	cell division cycle 25C	995	P30307	Cal33-HSC6	-0.329862492486762	0.556399634964236	0.64608914577904	no	-0.329862492486762	0.64608914577904	3	4	HSC6	human
P30411	BDKRB2	bradykinin receptor B2	624	P30411	Cal33-HSC6	-Inf	NA	0	yes	-6.21677222416415	0.0482025	0	4	HSC6	human
P30414	NKTR	natural killer cell triggering receptor	4820	P30414	Cal33-HSC6	-0.118554894323663	0.569020031936469	0.657893634805938	no	-0.118554894323663	0.657893634805938	4	4	HSC6	human
P30419	NMT1	N-myristoyltransferase 1	4836	P30419	Cal33-HSC6	-1.50613917182905	0.000855707743128598	0.00546006704232756	no	-1.50613917182905	0.00546006704232756	3	4	HSC6	human
P30520	ADSS2	adenylosuccinate synthase 2	159	P30520	Cal33-HSC6	3.68547783771473	0.0111942869564075	0.031556169854367	no	3.68547783771473	0.031556169854367	4	1	Cal33	human
P30566	ADSL	adenylosuccinate lyase	158	P30566	Cal33-HSC6	0.410873213422849	0.237288021118849	0.332098927139524	no	0.410873213422849	0.332098927139524	4	4	Cal33	human
P30622	CLIP1	CAP-Gly domain containing linker protein 1	6249	P30622	Cal33-HSC6	-1.40122994456859	0.000105864618517026	0.00152521694732223	no	-1.40122994456859	0.00152521694732223	4	4	HSC6	human
P30838	ALDH3A1	aldehyde dehydrogenase 3 family member A1	218	P30838	Cal33-HSC6	Inf	NA	0	yes	3.4395184808753	0.0383103	3	0	Cal33	human
P30989	NTSR1	neurotensin receptor 1	4923	P30989	Cal33-HSC6	-Inf	NA	0	yes	-7.47999704121483	0.0183528	0	4	HSC6	human
P31321	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta	5575	P31321	Cal33-HSC6	0.816741043914509	0.0296968669405331	0.0665879044638432	no	0.816741043914509	0.0665879044638432	4	4	Cal33	human
P31350	RRM2	ribonucleotide reductase regulatory subunit M2	6241	P31350	Cal33-HSC6	1.94732020237101	0.00519632586614449	0.0182134082852813	no	1.94732020237101	0.0182134082852813	4	4	Cal33	human
P31431	SDC4	syndecan 4	6385	P31431	Cal33-HSC6	Inf	NA	0	yes	3.79310240555743	0.0171502	3	0	Cal33	human
P31689	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	3301	P31689	Cal33-HSC6	1.45210796653303	0.0388352339500275	0.0811360793286664	no	1.45210796653303	0.0811360793286664	4	4	Cal33	human
P31749	AKT1	AKT serine/threonine kinase 1	207	P31749	Cal33-HSC6	0.193787759185206	0.757400200965674	0.81598213962107	no	0.193787759185206	0.81598213962107	1	4	Cal33	human
P31930	UQCRC1	ubiquinol-cytochrome c reductase core protein 1	7384	P31930	Cal33-HSC6	0.663793511363374	0.0685725613875279	0.126260469036199	no	0.663793511363374	0.126260469036199	4	4	Cal33	human
P31942	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	3189	P31942	Cal33-HSC6	0.0253649925505904	0.935717305900449	0.955830574907613	no	0.0253649925505904	0.955830574907613	4	4	Cal33	human
P31943	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1	3187	P31943	Cal33-HSC6	-0.544362962613286	0.0138747332197187	0.0370303022393832	no	-0.544362962613286	0.0370303022393832	4	4	HSC6	human
P31947	SFN	stratifin	2810	P31947	Cal33-HSC6	-0.946867509473939	0.0927804881346166	0.159338227734962	no	-0.946867509473939	0.159338227734962	4	4	HSC6	human
P31948	STIP1	stress induced phosphoprotein 1	10963	P31948	Cal33-HSC6	0.760509627490221	0.111125407532905	0.183804310433646	no	0.760509627490221	0.183804310433646	4	4	Cal33	human
P31949	S100A11	S100 calcium binding protein A11	6282	P31949	Cal33-HSC6	-1.92589316495578	0.12572766263133	0.201772619868021	no	-1.92589316495578	0.201772619868021	2	1	HSC6	human
P32519	ELF1	E74 like ETS transcription factor 1	1997	P32519	Cal33-HSC6	-1.35653261537265	0.00116062488275026	0.00662263373956421	no	-1.35653261537265	0.00662263373956421	4	4	HSC6	human
P32926	DSG3	desmoglein 3	1830	P32926	Cal33-HSC6	3.53264425828176	0.000166778152524749	0.00189650584871	no	3.53264425828176	0.00189650584871	4	2	Cal33	human
P32927	CSF2RB	colony stimulating factor 2 receptor subunit beta	1439	P32927	Cal33-HSC6	0.45789687617338	0.136429886026899	0.214675680693071	no	0.45789687617338	0.214675680693071	4	4	Cal33	human
P33176	KIF5B	kinesin family member 5B	3799	P33176	Cal33-HSC6	2.17644010090597	0.0010828524590778	0.00633787174577888	no	2.17644010090597	0.00633787174577888	4	4	Cal33	human
P33240	CSTF2	cleavage stimulation factor subunit 2	1478	P33240	Cal33-HSC6	-0.440082877128867	0.111378149232209	0.184031150573614	no	-0.440082877128867	0.184031150573614	4	4	HSC6	human
P33316	DUT	deoxyuridine triphosphatase	1854	P33316	Cal33-HSC6	0.223940540205907	0.669083294884358	0.745025595692591	no	0.223940540205907	0.745025595692591	4	4	Cal33	human
P33527	ABCC1	ATP binding cassette subfamily C member 1	4363	P33527	Cal33-HSC6	0.422695725248616	0.141367503313307	0.220644181641946	no	0.422695725248616	0.220644181641946	4	4	Cal33	human
P33981	TTK	TTK protein kinase	7272	P33981	Cal33-HSC6	-0.219113347062017	0.493505630647612	0.589835558551801	no	-0.219113347062017	0.589835558551801	4	4	HSC6	human
P33991	MCM4	minichromosome maintenance complex component 4	4173	P33991	Cal33-HSC6	-1.76826194745327	1.24560246757e-05	0.000440666472971429	no	-1.76826194745327	0.000440666472971429	4	4	HSC6	human
P33993	MCM7	minichromosome maintenance complex component 7	4176	P33993	Cal33-HSC6	0.0880317275923296	0.795078176341984	0.846382117510156	no	0.0880317275923296	0.846382117510156	4	4	Cal33	human
P34897	SHMT2	serine hydroxymethyltransferase 2	6472	P34897	Cal33-HSC6	-1.03229007754324	0.00271289282765874	0.0117108066375723	no	-1.03229007754324	0.0117108066375723	3	4	HSC6	human
P34932	HSPA4	heat shock protein family A (Hsp70) member 4	3308	P34932	Cal33-HSC6	0.676424227418605	0.387576315672407	0.48814991657474	no	0.676424227418605	0.48814991657474	2	3	Cal33	human
P35221	CTNNA1	catenin alpha 1	1495	P35221	Cal33-HSC6	-1.50176374562089	0.00127235872956666	0.0071073512191934	no	-1.50176374562089	0.0071073512191934	4	4	HSC6	human
P35222	CTNNB1	catenin beta 1	1499	P35222	Cal33-HSC6	-1.00205872155711	0.0407397407146914	0.0845601919397507	no	-1.00205872155711	0.0845601919397507	4	4	HSC6	human
P35240	NF2	neurofibromin 2	4771	P35240	Cal33-HSC6	-0.126135897829292	0.807853909712458	0.857688178901122	no	-0.126135897829292	0.857688178901122	3	4	HSC6	human
P35251	RFC1	replication factor C subunit 1	5981	P35251	Cal33-HSC6	-1.27646324689724	0.000208153012899226	0.00214027338520658	no	-1.27646324689724	0.00214027338520658	4	4	HSC6	human
P35269	GTF2F1	general transcription factor IIF subunit 1	2962	P35269	Cal33-HSC6	-0.4556838129304	0.135483933044467	0.213660645276664	no	-0.4556838129304	0.213660645276664	4	4	HSC6	human
P35367	HRH1	histamine receptor H1	3269	P35367	Cal33-HSC6	-0.72940183729868	0.211149607283589	0.303354970027489	no	-0.72940183729868	0.303354970027489	3	4	HSC6	human
P35548	MSX2	msh homeobox 2	4488	P35548	Cal33-HSC6	0.309547736981881	0.215433119422893	0.307872106033434	no	0.309547736981881	0.307872106033434	3	4	Cal33	human
P35568	IRS1	insulin receptor substrate 1	3667	P35568	Cal33-HSC6	-0.31577191865657	0.0827544573928547	0.1463021612098	no	-0.31577191865657	0.1463021612098	4	4	HSC6	human
P35579	MYH9	myosin heavy chain 9	4627	P35579	Cal33-HSC6	-2.30113975328506	8.15937044107429e-06	0.000342983326821963	no	-2.30113975328506	0.000342983326821963	4	4	HSC6	human
P35580	MYH10	myosin heavy chain 10	4628	P35580	Cal33-HSC6	-0.789797857196356	0.00373600809660468	0.0144537664393552	no	-0.789797857196356	0.0144537664393552	2	4	HSC6	human
P35606	COPB2	COPI coat complex subunit beta 2	9276	P35606	Cal33-HSC6	0.615681180222143	0.0134539854084288	0.0362993115604895	no	0.615681180222143	0.0362993115604895	4	4	Cal33	human
P35611	ADD1	adducin 1	118	P35611	Cal33-HSC6	0.0183121970398484	0.859274886977053	0.901460046172961	no	0.0183121970398484	0.901460046172961	4	4	Cal33	human
P35658	NUP214	nucleoporin 214	8021	P35658	Cal33-HSC6	0.374839035807934	0.0109897152196561	0.0311304912907726	no	0.374839035807934	0.0311304912907726	4	4	Cal33	human
P35659	DEK	DEK proto-oncogene	7913	P35659	Cal33-HSC6	-2.00196439720886	0.0650246765830778	0.122265670901037	no	-2.00196439720886	0.122265670901037	1	3	HSC6	human
P36021	SLC16A2	solute carrier family 16 member 2	6567	P36021	Cal33-HSC6	-Inf	NA	0	yes	-2.90514137681653	0.0237078	0	3	HSC6	human
P36507	MAP2K2	mitogen-activated protein kinase kinase 2	5605	P36507	Cal33-HSC6	0.520194007114147	0.380309403959852	0.481528112296532	no	0.520194007114147	0.481528112296532	4	4	Cal33	human
P36578	RPL4	ribosomal protein L4	6124	P36578	Cal33-HSC6	-0.360735228911347	0.0227926365876068	0.0540773136325931	no	-0.360735228911347	0.0540773136325931	4	4	HSC6	human
P36871	PGM1	phosphoglucomutase 1	5236	P36871	Cal33-HSC6	4.71855476628222	4.43484600833877e-05	0.000893705676617129	no	4.71855476628222	0.000893705676617129	4	4	Cal33	human
P36915	GNL1	G protein nucleolar 1 (putative)	2794	P36915	Cal33-HSC6	0.350368245853033	0.193885854618242	0.282144680577917	no	0.350368245853033	0.282144680577917	4	4	Cal33	human
P36956	SREBF1	sterol regulatory element binding transcription factor 1	6720	P36956	Cal33-HSC6	-Inf	NA	0	yes	-3.36387836736862	0.0478267	0	2	HSC6	human
P37231	PPARG	peroxisome proliferator activated receptor gamma	5468	P37231	Cal33-HSC6	-Inf	NA	0	yes	-4.69320935370823	0.0445823	0	3	HSC6	human
P37802	TAGLN2	transgelin 2	8407	P37802	Cal33-HSC6	0.0109402272303479	0.986124569239161	0.989618977361116	no	0.0109402272303479	0.989618977361116	4	1	Cal33	human
P37837	TALDO1	transaldolase 1	6888	P37837	Cal33-HSC6	0.47087174746865	0.53188131896096	0.626029507958995	no	0.47087174746865	0.626029507958995	3	4	Cal33	human
P38159	RBMX	RNA binding motif protein X-linked	27316	P38159	Cal33-HSC6	-0.667317039403493	4.83755318088086e-05	0.000916831507614563	no	-0.667317039403493	0.000916831507614563	4	4	HSC6	human
P38398	BRCA1	BRCA1 DNA repair associated	672	P38398	Cal33-HSC6	0.342934461853142	0.100804451393547	0.169910732258896	no	0.342934461853142	0.169910732258896	4	4	Cal33	human
P38432	COIL	coilin	8161	P38432	Cal33-HSC6	-0.655435341832595	0.00125258717426213	0.00703605846726864	no	-0.655435341832595	0.00703605846726864	4	4	HSC6	human
P38435	GGCX	gamma-glutamyl carboxylase	2677	P38435	Cal33-HSC6	-1.57989748245565	0.00968942736617651	0.0286686162499056	no	-1.57989748245565	0.0286686162499056	3	4	HSC6	human
P38646	HSPA9	heat shock protein family A (Hsp70) member 9	3313	P38646	Cal33-HSC6	0.892683350797558	0.141169544984289	0.220644181641946	no	0.892683350797558	0.220644181641946	1	4	Cal33	human
P38919	EIF4A3	eukaryotic translation initiation factor 4A3	9775	P38919	Cal33-HSC6	-0.871336638075238	0.00679316088870197	0.0222754111942606	no	-0.871336638075238	0.0222754111942606	4	4	HSC6	human
P38935	IGHMBP2	immunoglobulin mu DNA binding protein 2	3508	P38935	Cal33-HSC6	-0.91038938992285	0.000102524103940294	0.00149741627039401	no	-0.91038938992285	0.00149741627039401	3	4	HSC6	human
P38936	CDKN1A	cyclin dependent kinase inhibitor 1A	1026	P38936	Cal33-HSC6	-Inf	NA	0	yes	-5.03239141271278	0.0359794	0	4	HSC6	human
P39023	RPL3	ribosomal protein L3	6122	P39023	Cal33-HSC6	0.819234291105612	0.0267924969803759	0.0613598210619801	no	0.819234291105612	0.0613598210619801	3	3	Cal33	human
P39687	ANP32A	acidic nuclear phosphoprotein 32 family member A	8125	P39687	Cal33-HSC6	0.568971172947891	0.211728074373714	0.303804501489818	no	0.568971172947891	0.303804501489818	4	4	Cal33	human
P39880	CUX1	cut like homeobox 1	1523	P39880	Cal33-HSC6	1.78762872609346	0.00281064467073255	0.0119961027233411	no	1.78762872609346	0.0119961027233411	4	4	Cal33	human
P40123	CAP2	cyclase associated actin cytoskeleton regulatory protein 2	10486	P40123	Cal33-HSC6	-1.20328846561382	0.00921086732585708	0.027485849639671	no	-1.20328846561382	0.027485849639671	4	4	HSC6	human
P40189	IL6ST	interleukin 6 signal transducer	3572	P40189	Cal33-HSC6	-0.691494139929398	0.0738712253225144	0.133412354751495	no	-0.691494139929398	0.133412354751495	1	4	HSC6	human
P40222	TXLNA	taxilin alpha	200081	P40222	Cal33-HSC6	0.844572958585667	0.0273295084010015	0.0621995387768325	no	0.844572958585667	0.0621995387768325	4	4	Cal33	human
P40306	PSMB10	proteasome 20S subunit beta 10	5699	P40306	Cal33-HSC6	1.54849786282428	0.0166510056145701	0.042824557251043	no	1.54849786282428	0.042824557251043	2	4	Cal33	human
P40425	PBX2	PBX homeobox 2	5089	P40425	Cal33-HSC6	-0.0716565058987987	0.796768886361705	0.84761514673427	no	-0.0716565058987987	0.84761514673427	4	3	HSC6	human
P40692	MLH1	mutL homolog 1	4292	P40692	Cal33-HSC6	-Inf	NA	0	yes	-3.00023025421693	0.047492	0	2	HSC6	human
P40763	STAT3	signal transducer and activator of transcription 3	6774	P40763	Cal33-HSC6	0.76362971950097	0.0281759409218283	0.0635805782389095	no	0.76362971950097	0.0635805782389095	4	4	Cal33	human
P40818	USP8	ubiquitin specific peptidase 8	9101	P40818	Cal33-HSC6	-0.291755477204029	0.449025566592016	0.550043585743649	no	-0.291755477204029	0.550043585743649	4	4	HSC6	human
P40855	PEX19	peroxisomal biogenesis factor 19	5824	P40855	Cal33-HSC6	0.238912284726199	0.359686143417087	0.460120803792689	no	0.238912284726199	0.460120803792689	4	4	Cal33	human
P40925	MDH1	malate dehydrogenase 1	4190	P40925	Cal33-HSC6	-0.190994144806703	0.638848559205647	0.720033207968417	no	-0.190994144806703	0.720033207968417	4	4	HSC6	human
P40939	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	3030	P40939	Cal33-HSC6	0.213722613381887	0.322545055164348	0.421759119360692	no	0.213722613381887	0.421759119360692	4	4	Cal33	human
P41162	ETV3	ETS variant transcription factor 3	2117	P41162	Cal33-HSC6	0.0340044172670379	0.954706105235568	0.969318953785092	no	0.0340044172670379	0.969318953785092	4	2	Cal33	human
P41182	BCL6	BCL6 transcription repressor	604	P41182	Cal33-HSC6	0.180769602766171	0.110846966360403	0.183439054517423	no	0.180769602766171	0.183439054517423	4	4	Cal33	human
P41208	CETN2	centrin 2	1069	P41208	Cal33-HSC6	-0.133014813351017	0.779901576624117	0.833290812070868	no	-0.133014813351017	0.833290812070868	3	4	HSC6	human
P41212	ETV6	ETS variant transcription factor 6	2120	P41212	Cal33-HSC6	0.222673625911042	0.471870434108818	0.57140030783327	no	0.222673625911042	0.57140030783327	4	4	Cal33	human
P41227	NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit	8260	P41227	Cal33-HSC6	-0.0538362032507964	0.911120426104595	0.93792674966603	no	-0.0538362032507964	0.93792674966603	4	4	HSC6	human
P41229	KDM5C	lysine demethylase 5C	8242	P41229	Cal33-HSC6	1.03182008862314	0.0024796569634995	0.0110114752744524	no	1.03182008862314	0.0110114752744524	4	4	Cal33	human
P41252	IARS1	isoleucyl-tRNA synthetase 1	3376	P41252	Cal33-HSC6	-0.449547192684518	0.302439932354619	0.401165860101193	no	-0.449547192684518	0.401165860101193	4	4	HSC6	human
P41440	SLC19A1	solute carrier family 19 member 1	6573	P41440	Cal33-HSC6	0.756753759601015	0.0112717833275147	0.0317043799600766	no	0.756753759601015	0.0317043799600766	4	4	Cal33	human
P41743	PRKCI	protein kinase C iota	5584	P41743	Cal33-HSC6	1.39449697827025	0.0838835157051239	0.147969592246601	no	1.39449697827025	0.147969592246601	4	3	Cal33	human
P41970	ELK3	ETS transcription factor ELK3	2004	P41970	Cal33-HSC6	0.080121194931641	0.720399852296497	0.787203391026729	no	0.080121194931641	0.787203391026729	1	4	Cal33	human
P42166	TMPO	thymopoietin	7112	P42166	Cal33-HSC6	-1.27479795797425	0.000237534116552807	0.00234878455622403	no	-1.27479795797425	0.00234878455622403	4	4	HSC6	human
P42167	TMPO	thymopoietin	7112	P42167	Cal33-HSC6	-1.20563310405213	0.0010678716364998	0.00629648757521361	no	-1.20563310405213	0.00629648757521361	4	4	HSC6	human
P42224	STAT1	signal transducer and activator of transcription 1	6772	P42224	Cal33-HSC6	-0.304086561647484	0.364061188882479	0.464411388382136	no	-0.304086561647484	0.464411388382136	4	4	HSC6	human
P42285	MTREX	Mtr4 exosome RNA helicase	23517	P42285	Cal33-HSC6	-0.156970147548271	0.57664854098574	0.664032171608896	no	-0.156970147548271	0.664032171608896	4	4	HSC6	human
P42345	MTOR	mechanistic target of rapamycin kinase	2475	P42345	Cal33-HSC6	0.389283849974236	0.607919636028359	0.692775991808981	no	0.389283849974236	0.692775991808981	4	4	Cal33	human
P42356	PI4KA	phosphatidylinositol 4-kinase alpha	5297	P42356	Cal33-HSC6	-0.0387034253044536	0.893389873452918	0.925391557052825	no	-0.0387034253044536	0.925391557052825	4	4	HSC6	human
P42566	EPS15	epidermal growth factor receptor pathway substrate 15	2060	P42566	Cal33-HSC6	2.74467748117891	0.00368837312357839	0.0143918872861196	no	2.74467748117891	0.0143918872861196	4	4	Cal33	human
P42568	MLLT3	MLLT3 super elongation complex subunit	4300	P42568	Cal33-HSC6	0.0160920336789312	0.961877721122693	0.974115351162422	no	0.0160920336789312	0.974115351162422	4	4	Cal33	human
P42677	RPS27	ribosomal protein S27	6232	P42677	Cal33-HSC6	1.90390996248426	0.000282352960569554	0.00260583138102452	no	1.90390996248426	0.00260583138102452	4	4	Cal33	human
P42684	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	P42684	Cal33-HSC6	0.640273185700659	0.0864433781475309	0.151295152726189	no	0.640273185700659	0.151295152726189	4	4	Cal33	human
P42694	HELZ	helicase with zinc finger	9931	P42694	Cal33-HSC6	1.29095664256998	0.00402539124077372	0.0153679205163352	no	1.29095664256998	0.0153679205163352	4	4	Cal33	human
P42695	NCAPD3	non-SMC condensin II complex subunit D3	23310	P42695	Cal33-HSC6	-0.800584671546572	0.000440721035511515	0.00345959980802498	no	-0.800584671546572	0.00345959980802498	4	4	HSC6	human
P42696	RBM34	RNA binding motif protein 34	23029	P42696	Cal33-HSC6	-1.31188588199476	0.000779320787039239	0.00510567363360687	no	-1.31188588199476	0.00510567363360687	4	4	HSC6	human
P42858	HTT	huntingtin	3064	P42858	Cal33-HSC6	0.489006025734033	0.212379319815223	0.304464544930963	no	0.489006025734033	0.304464544930963	4	4	Cal33	human
P42892	ECE1	endothelin converting enzyme 1	1889	P42892	Cal33-HSC6	-1.17849008559411	0.101070357939788	0.170234353771645	no	-1.17849008559411	0.170234353771645	1	3	HSC6	human
